"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Data Item","Domain","Domain Category","Value","CV (%)"
"CENSUS","2012","END OF DEC","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, COWS, MILK - OPERATIONS WITH INVENTORY","INVENTORY OF MILK COWS","INVENTORY OF MILK COWS: (500 OR MORE HEAD)","3,344","1.4"
"CENSUS","2012","END OF DEC","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, COWS, MILK - OPERATIONS WITH INVENTORY","INVENTORY OF MILK COWS","INVENTORY OF MILK COWS: (500 TO 999 HEAD)","1,537","1.9"
"CENSUS","2007","END OF DEC","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, COWS, MILK - OPERATIONS WITH INVENTORY","INVENTORY OF MILK COWS","INVENTORY OF MILK COWS: (1 TO 9 HEAD)","14,426",""
"CENSUS","2007","END OF DEC","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, COWS, MILK - OPERATIONS WITH INVENTORY","INVENTORY OF MILK COWS","INVENTORY OF MILK COWS: (1,000 OR MORE HEAD)","1,582",""
"CENSUS","2007","END OF DEC","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, COWS, MILK - OPERATIONS WITH INVENTORY","INVENTORY OF MILK COWS","INVENTORY OF MILK COWS: (1,000 TO 2,499 HEAD)","1,104",""
"CENSUS","2007","END OF DEC","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, COWS, MILK - OPERATIONS WITH INVENTORY","INVENTORY OF MILK COWS","INVENTORY OF MILK COWS: (10 TO 19 HEAD)","3,568",""
"CENSUS","2007","END OF DEC","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, COWS, MILK - OPERATIONS WITH INVENTORY","INVENTORY OF MILK COWS","INVENTORY OF MILK COWS: (100 TO 199 HEAD)","8,975",""
"CENSUS","2007","END OF DEC","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, COWS, MILK - OPERATIONS WITH INVENTORY","INVENTORY OF MILK COWS","INVENTORY OF MILK COWS: (2,500 OR MORE HEAD)","478",""
"CENSUS","2007","END OF DEC","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, COWS, MILK - OPERATIONS WITH INVENTORY","INVENTORY OF MILK COWS","INVENTORY OF MILK COWS: (20 TO 49 HEAD)","16,344",""
"CENSUS","2007","END OF DEC","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, COWS, MILK - OPERATIONS WITH INVENTORY","INVENTORY OF MILK COWS","INVENTORY OF MILK COWS: (200 TO 499 HEAD)","4,307",""
"CENSUS","2007","END OF DEC","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, COWS, MILK - OPERATIONS WITH INVENTORY","INVENTORY OF MILK COWS","INVENTORY OF MILK COWS: (50 TO 99 HEAD)","18,986",""
"CENSUS","2007","END OF DEC","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, COWS, MILK - OPERATIONS WITH INVENTORY","INVENTORY OF MILK COWS","INVENTORY OF MILK COWS: (500 OR MORE HEAD)","3,284",""
"CENSUS","2007","END OF DEC","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, COWS, MILK - OPERATIONS WITH INVENTORY","INVENTORY OF MILK COWS","INVENTORY OF MILK COWS: (500 TO 999 HEAD)","1,702",""
"CENSUS","2002","END OF DEC","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, COWS, MILK - OPERATIONS WITH INVENTORY","INVENTORY OF MILK COWS","INVENTORY OF MILK COWS: (1 TO 9 HEAD)","21,016",""
"CENSUS","2002","END OF DEC","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, COWS, MILK - OPERATIONS WITH INVENTORY","INVENTORY OF MILK COWS","INVENTORY OF MILK COWS: (1,000 OR MORE HEAD)","1,256",""
"CENSUS","2002","END OF DEC","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, COWS, MILK - OPERATIONS WITH INVENTORY","INVENTORY OF MILK COWS","INVENTORY OF MILK COWS: (10 TO 19 HEAD)","5,270",""
"CENSUS","2002","END OF DEC","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, COWS, MILK - OPERATIONS WITH INVENTORY","INVENTORY OF MILK COWS","INVENTORY OF MILK COWS: (100 TO 199 HEAD)","10,816",""
"CENSUS","2002","END OF DEC","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, COWS, MILK - OPERATIONS WITH INVENTORY","INVENTORY OF MILK COWS","INVENTORY OF MILK COWS: (20 TO 49 HEAD)","21,974",""
"CENSUS","2002","END OF DEC","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, COWS, MILK - OPERATIONS WITH INVENTORY","INVENTORY OF MILK COWS","INVENTORY OF MILK COWS: (200 TO 499 HEAD)","4,546",""
"CENSUS","2002","END OF DEC","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, COWS, MILK - OPERATIONS WITH INVENTORY","INVENTORY OF MILK COWS","INVENTORY OF MILK COWS: (50 TO 99 HEAD)","25,465",""
"CENSUS","2002","END OF DEC","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, COWS, MILK - OPERATIONS WITH INVENTORY","INVENTORY OF MILK COWS","INVENTORY OF MILK COWS: (500 OR MORE HEAD)","2,902",""
"CENSUS","2002","END OF DEC","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, COWS, MILK - OPERATIONS WITH INVENTORY","INVENTORY OF MILK COWS","INVENTORY OF MILK COWS: (500 TO 999 HEAD)","1,646",""
"CENSUS","1997","END OF DEC","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, COWS, MILK - OPERATIONS WITH INVENTORY","INVENTORY OF MILK COWS","INVENTORY OF MILK COWS: (1 TO 9 HEAD)","28,559",""
"CENSUS","1997","END OF DEC","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, COWS, MILK - OPERATIONS WITH INVENTORY","INVENTORY OF MILK COWS","INVENTORY OF MILK COWS: (1,000 OR MORE HEAD)","878",""
"CENSUS","1997","END OF DEC","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, COWS, MILK - OPERATIONS WITH INVENTORY","INVENTORY OF MILK COWS","INVENTORY OF MILK COWS: (10 TO 19 HEAD)","8,875",""
"CENSUS","1997","END OF DEC","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, COWS, MILK - OPERATIONS WITH INVENTORY","INVENTORY OF MILK COWS","INVENTORY OF MILK COWS: (100 TO 199 HEAD)","12,642",""
"CENSUS","1997","END OF DEC","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, COWS, MILK - OPERATIONS WITH INVENTORY","INVENTORY OF MILK COWS","INVENTORY OF MILK COWS: (20 TO 49 HEAD)","35,037",""
"CENSUS","1997","END OF DEC","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, COWS, MILK - OPERATIONS WITH INVENTORY","INVENTORY OF MILK COWS","INVENTORY OF MILK COWS: (200 TO 499 HEAD)","4,881",""
"CENSUS","1997","END OF DEC","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, COWS, MILK - OPERATIONS WITH INVENTORY","INVENTORY OF MILK COWS","INVENTORY OF MILK COWS: (50 TO 99 HEAD)","32,790",""
"CENSUS","1997","END OF DEC","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, COWS, MILK - OPERATIONS WITH INVENTORY","INVENTORY OF MILK COWS","INVENTORY OF MILK COWS: (500 TO 999 HEAD)","1,379",""
