"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Data Item","Domain","Domain Category","Value","CV (%)"
"CENSUS","2002","END OF DEC","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, COWS, BEEF - OPERATIONS WITH INVENTORY","INVENTORY OF BEEF COWS","INVENTORY OF BEEF COWS: (1,000 TO 2,499 HEAD)","1,110",""
"CENSUS","2002","END OF DEC","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, COWS, BEEF - OPERATIONS WITH INVENTORY","INVENTORY OF BEEF COWS","INVENTORY OF BEEF COWS: (10 TO 19 HEAD)","178,038",""
"CENSUS","2002","END OF DEC","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, COWS, BEEF - OPERATIONS WITH INVENTORY","INVENTORY OF BEEF COWS","INVENTORY OF BEEF COWS: (100 TO 199 HEAD)","45,354",""
"CENSUS","2002","END OF DEC","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, COWS, BEEF - OPERATIONS WITH INVENTORY","INVENTORY OF BEEF COWS","INVENTORY OF BEEF COWS: (2,500 OR MORE HEAD)","160",""
"CENSUS","2002","END OF DEC","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, COWS, BEEF - OPERATIONS WITH INVENTORY","INVENTORY OF BEEF COWS","INVENTORY OF BEEF COWS: (20 TO 49 HEAD)","215,320",""
"CENSUS","2002","END OF DEC","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, COWS, BEEF - OPERATIONS WITH INVENTORY","INVENTORY OF BEEF COWS","INVENTORY OF BEEF COWS: (200 TO 499 HEAD)","23,126",""
"CENSUS","2002","END OF DEC","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, COWS, BEEF - OPERATIONS WITH INVENTORY","INVENTORY OF BEEF COWS","INVENTORY OF BEEF COWS: (50 TO 99 HEAD)","89,874",""
"CENSUS","2002","END OF DEC","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, COWS, BEEF - OPERATIONS WITH INVENTORY","INVENTORY OF BEEF COWS","INVENTORY OF BEEF COWS: (500 OR MORE HEAD)","5,272",""
"CENSUS","2002","END OF DEC","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, COWS, BEEF - OPERATIONS WITH INVENTORY","INVENTORY OF BEEF COWS","INVENTORY OF BEEF COWS: (500 TO 999 HEAD)","4,002",""
"CENSUS","1997","END OF DEC","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, COWS, BEEF - OPERATIONS WITH INVENTORY","INVENTORY OF BEEF COWS","INVENTORY OF BEEF COWS: (1 TO 9 HEAD)","293,233",""
"CENSUS","1997","END OF DEC","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, COWS, BEEF - OPERATIONS WITH INVENTORY","INVENTORY OF BEEF COWS","INVENTORY OF BEEF COWS: (1,000 TO 2,499 HEAD)","1,179",""
"CENSUS","1997","END OF DEC","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, COWS, BEEF - OPERATIONS WITH INVENTORY","INVENTORY OF BEEF COWS","INVENTORY OF BEEF COWS: (10 TO 19 HEAD)","206,100",""
"CENSUS","1997","END OF DEC","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, COWS, BEEF - OPERATIONS WITH INVENTORY","INVENTORY OF BEEF COWS","INVENTORY OF BEEF COWS: (100 TO 199 HEAD)","43,269",""
"CENSUS","1997","END OF DEC","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, COWS, BEEF - OPERATIONS WITH INVENTORY","INVENTORY OF BEEF COWS","INVENTORY OF BEEF COWS: (2,500 OR MORE HEAD)","212",""
"CENSUS","1997","END OF DEC","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, COWS, BEEF - OPERATIONS WITH INVENTORY","INVENTORY OF BEEF COWS","INVENTORY OF BEEF COWS: (20 TO 49 HEAD)","236,616",""
"CENSUS","1997","END OF DEC","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, COWS, BEEF - OPERATIONS WITH INVENTORY","INVENTORY OF BEEF COWS","INVENTORY OF BEEF COWS: (200 TO 499 HEAD)","21,330",""
"CENSUS","1997","END OF DEC","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, COWS, BEEF - OPERATIONS WITH INVENTORY","INVENTORY OF BEEF COWS","INVENTORY OF BEEF COWS: (50 TO 99 HEAD)","93,869",""
"CENSUS","1997","END OF DEC","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, COWS, BEEF - OPERATIONS WITH INVENTORY","INVENTORY OF BEEF COWS","INVENTORY OF BEEF COWS: (500 TO 999 HEAD)","3,948",""
